Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Output
167,448,155,217,376,93,124,93,1
182,461,147,228,330,98,126,93,1
177,442,145,200,306,93,113,80,1
158,391,125,199,273,86,115,77,1
153,351,114,245,319,83,109,77,1
158,392,125,276,326,99,121,79,1
139,388,156,259,330,95,129,77,1
135,405,156,257,336,97,125,79,1
148,414,155,255,334,107,124,82,1
153,452,156,211,325,115,135,76,1
146,425,150,165,316,101,125,70,1
145,399,116,159,330,104,120,63,1
151,403,126,160,324,105,120,64,1
146,418,131,150,306,95,123,65,1
147,429,131,160,293,85,116,72,1
142,405,136,225,272,85,110,72,1
159,424,145,247,254,73,106,82,1
153,428,127,245,260,64,107,82,1
147,398,124,249,288,69,111,77,1
136,362,135,260,281,83,112,69,1
144,393,133,209,286,78,118,75,1
124,372,137,174,284,83,127,67,1
139,368,150,214,379,99,128,69,1
150,377,150,230,405,101,120,74,1
158,377,134,213,399,96,125,83,1
148,330,137,219,404,113,121,82,1
153,330,127,239,408,108,128,80,1
135,323,141,211,307,95,129,81,1
129,321,151,238,274,98,128,79,1
130,293,168,240,249,102,118,75,1
132,324,175,242,258,86,131,74,1
127,407,196,244,304,91,116,75,1
134,381,182,236,321,88,120,75,1
125,366,174,213,318,90,126,77,1
119,382,160,225,408,82,127,75,1
119,364,147,226,412,77,123,82,1
131,269,117,205,376,72,119,83,1
123,270,119,202,363,72,108,80,1
122,258,111,170,385,59,101,77,1
120,207,112,132,293,57,100,74,1
126,291,124,120,252,68,93,66,1
150,387,137,122,238,71,96,64,1
150,388,130,168,255,85,106,67,1
146,403,133,184,209,101,134,68,1
150,441,142,193,210,101,135,71,1
142,401,130,257,288,97,139,68,1
132,349,121,275,306,101,147,77,1
144,367,122,252,293,98,156,77,1
155,351,129,260,290,86,136,83,1
155,306,123,266,305,88,133,86,1
167,295,124,220,309,100,124,86,1
223,445,125,223,320,92,110,101,1
229,441,148,223,331,84,85,110,1
221,461,147,223,323,95,90,112,1
229,503,152,215,329,101,113,123,1
221,499,154,220,365,103,125,120,1
140,333,153,191,361,107,130,101,1
113,333,157,196,383,113,140,92,1
123,322,157,211,392,111,140,82,1
139,354,153,223,391,106,132,68,1
154,380,157,197,301,90,122,76,1
154,395,153,212,299,89,125,74,1
156,402,132,216,283,89,119,71,1
178,406,126,184,317,78,114,85,1
158,323,117,201,346,79,126,96,1
157,356,104,208,344,93,125,89,1
158,354,100,197,332,98,137,92,1
160,338,88,183,328,91,133,98,1
134,329,95,178,290,84,129,87,1
127,336,109,146,259,82,119,67,1
120,326,124,128,257,86,132,81,1
116,352,125,142,257,88,133,80,1
122,364,143,142,217,102,160,82,1
117,343,136,137,204,107,172,88,1
135,400,138,127,194,111,178,93,1
138,364,128,141,202,112,199,86,1
148,368,144,151,281,108,187,83,1
139,363,133,153,290,105,167,78,1
146,451,134,195,305,105,170,71,1
161,408,122,193,295,117,162,70,1
150,413,116,186,319,109,129,70,1
143,398,104,169,252,109,141,71,1
148,407,99,174,261,101,137,66,1
